,ent1,ent2,relation
5727,use,particular  aspect,exploits
5728,when kidney patient,acute kidney injury,found
5729,Aspirin,,contraindicated
5730,willow bark willow preparations,tea  fevers,made
5731,Willow bark extract,,became
5732,academic acetylsalicylic chemists,efficient  methods,experimenting
5733,however brand rights,it,dubbed
5734,popularity,,grew
5735,popularity,,declined
5736,general  that,true,discovered
5737,1918 United it,intellectual property rights,revived
5738,Today  aspirin,,trademark
5739,Aspirin,different  aspects,remains
5740,Pharmacopeia British Pharmacopoeia Medical Aspirin,,use
5741,elderly  who,cardiovascular  disease,shown
5742,colorectal  mechanisms,colorectal  cancer,is
5743,old  who,risk,deemed reasonable
5744,ibuprofen  aspirin,gastrointestinal  bleeding,analgesic
5745,Aspirin,,ineffective
5746,NSAIDs  combinations,greater pain relief,provide
5747,them,aspirin  pain,relieve
5748,Topical  aspirin,types,effective
5749,headache  efficacy,certain  types,treats certain
5750,Secondary  headaches,those,treated
5751,headaches International Classification,,distinguishes
5752,Aspirin,,recognized
5753,Aspirin,,considered
5754,when  they,most  migraines,effective
5755,ability,fever,ability
5756,medical  societies,strongly Food aspirin,advise
5757,1986 US Food Administration,labeling,required
5758,Inflammation Aspirin,,used
5759,those  who,heart attack,part
5760,people health who,bleeding heart problems,recommended
5761,low dose aspirin,,suggested low
5762,more body evidence,effect,suggested lower
5763,increased disease risk,low-dose life aspirin,have
5764,40s  risk,potential  benefits,recommended
5765,Individuals,daily healthcare aspirin,consult
5766,heart disease heart aspirin,overall  risk,decreases
5767,years  it,heart attack heart —,decreased
5768,basis  others,potential  aspirin,recommend
5769,Aspirin,,suggested
5770,Complicating,use,is
5771,efficacy,,reduced
5772,testing who,testing people,suggested
5773,guideline Healthcare Research aspirin,,recommends
5774,Frequently  aspirin,clopidogrel blood clots,combined
5775,This,,called dual
5776,Duration,,advised
5777,patients P2Y12 benefits,promising et benefits,showed promising
5778,DAPT  PCIs,risks,personalized
5779,indefinitely  DAPT,,continued
5780,overall  both,cancer,thought
5781,effect,years  benefit,beneficial
5782,It,slightly  risk,reduce
5783,benefits,,conclude
5784,benefits,,unclear
5785,,,uncertainty
5786,2019 life aspirin,risk,issued
5787,U.S. Preventive U.S. services,Task questions,raised
5788,which  risk,ASPREE  Events,notes
5789,Bipolar disorder Aspirin,,repurposed
5790,meta-analytic  evidence,studies  efficacy,based
5791,clinical  perspectives,biological  rationale,remain uncertain
5792,aspirin,dementia,is
5793,Aspirin,first-line  treatment,uses
5794,therapy,,lasts
5795,longer  it,incidence,subsided
5796,experience  naproxen,,shown
5797,fever Kawasaki disease,,remains
5798,Low-dose aspirin supplementation,moderate  benefits,has moderate
5799,benefit,,greater
5800,people  aspirin,others  effect,have
5801,28  %,,suggested
5802,truly  others,,found
5803,laboratory,increased aspirin rates,found
5804,where aspirin aspirin,research  cardiovascular,is
5805,total hip arthroplasties,total knee arthroplasty,risk
5806,Some,risk factors risk age,include
5807,,,is
5808,Veterinary medicine Aspirin,anticoagulant  pain,used
5809,issues  —,,given
5810,aspirin overdose,,result
5811,Dogs,better  aspirin,able
5812,potentially  dosing,glucuronide conjugates,metabolize
5813,recommended  dose,pain blood clotting diseases,occurred
5814,sizes  which,,produced
5815,75  mg,,tablets
5816,longer  –,,called
5817,medical  significance,,occurs due
5818,dose,,appears
5819,higher  doses,cardiovascular  disease,effective
5820,adults  doses,,taken
5821,lower artery doses,,taken
5822,potential heart benefit,potential  harm,encourage
5823,75 aspirin female users,lower  risk,said regular
5824,lower aspirin doses,people  aspirin,associated
5825,Kawasaki disease Kawasaki aspirin,,taken
5826,babies kidney that,medications drug risk,required
5827,They,NSAIDs,recommend
5828,One  exception,,use
5829,NSAIDs drug caution,salicylate intolerance,taken
5830,mild  gastritis,medical  aspirin,recommend
5831,when stomach aspirin,,increased
5832,People,bleeding  aspirin,take
5833,people  who,genetic glucose-6-phosphate dehydrogenase deficiency,known
5834,Use,,recommended
5835,kidney disease kidney it,thus  conditions,take
5836,cold  this,cold  symptoms,given
5837,Gastrointestinal Aspirin use,risk,shown
5838,enteric  coating,risk,seem
5839,Combining,further  risk,shown
5840,Using,also  risk,increases
5841,Blockade,,results
5842,simultaneous  use,aspirin COX-2 risk,suggest
5843,effect,,unable
5844,dedicated  research,greater  clarity,required
5845,Therefore  caution,aspirin,exercised
5846,main method companies,problem,used
5847,stomach  benefits,aspirin,intended
5848,Almost buffering agent,example magnesium oxide,used
5849,Other  preparations,calcium carbonate,use
5850,Taking,method stomach lining,investigated
5851,stomach damage stomach that,aspirin,decrease
5852,It,eye specialists eye aspirin,habit
5853,that,,evidence
5854,patients  aspirin,visual  outcome,showed
5855,,,groups
5856,,,aspirin
5857,Central  effects,temporary  tinnitus,cause temporary
5858,when  children,aspirin,occur
5859,1207  cases,,reported
5860,93  %,weeks  onset,reported
5861,children  whom,results,detectable
5862,similar United decline,United States United number,reported
5863,age  it,age  aspirin,recommends
5864,people  taking,aspirin,result
5865,Aspirin,acute  symptoms,exacerbate
5866,responses,often COX-1 enzyme,reactions
5867,Skin reactions,,tie
5868,Aspirin,ibuprofen  healing,delay
5869,recent leg ulcer studies,quality  outcomes,suggested
5870,further  research,role,required
5871,adverse  effects,swelling,induce
5872,study  angioedema,hours  aspirin,appeared
5873,when  angioedema,angioedema,cause
5874,Aspirin,dark 5 patches,causes
5875,they,,important
5876,study,absolute risk increase,estimated
5877,absolute risk reduction,,events
5878,however prostaglandin agents,typically  hyperkalemia,cause
5879,Aspirin,prolonged  bleeding,cause prolonged
5880,6499  people,elective  bleeding,having elective
5881,diffuse  10,diffuse  bleeding,had diffuse
5882,bleeding,,associated
5883,2015  FDA,heart attack heart risk,toughened
5884,Aspirin,,NSAID
5885,Overdose Aspirin,,acute
5886,large  dose,,taken
5887,Acute  overdose,mortality rate,has
5888,chronic mortality overdose,,lethal
5889,Toxicity,,managed
5890,diagnosis,usually  measurement,involves
5891,Plasma salicylate levels,high 50–300 doses,mg/l
5892,Salicylate,,produced
5893,Interactions Aspirin,,known
5894,salicylates  alcohol,gastrointestinal  bleeding,known
5895,Aspirin,important beta part,known
5896,Corticosteroids,also  concentration,reduce
5897,Other  NSAIDs,ibuprofen antiplatelet effect,reduce
5898,this,,suggests
5899,spironolactone  it,spironolactone  aspirin,reduced
5900,research C. Research aspirin,repurposing strategies drug repurposing role,inhibit
5901,Bipolar disorder Aspirin,,repurposed
5902,meta-analytic  evidence,studies  efficacy,based
5903,clinical  perspectives,biological  rationale,remain uncertain
5904,Cancer prevention Aspirin,weakly  risk,reduce
5905,,References External Az References Aspirin,See
5906,,,Portal
5907,,,Library
5908,,,G
5909,Thomson Asystole,surgery necessitating surgery heart,absence
5910,Asystole,,form
5911,heart  which,tissue contraction,state
5912,temporary flatline that,temporary flatline —,confused
5913,fine  VF,poor  prognosis,different
5914,electrodes power disruptions,,ruled
5915,ventricular  which,,patients
5916,care unit care rate,,found
5917,Asystole,,treated
5918,reversible  cause,,detected
5919,case  rhythm,—,part
5920,Asystole,,treated
5921,itself,,is
5922,confounding  factor,good  CPR,improve
5923,Out-of-hospital survival rates,,percent
5924,term,,contraction
5925,underlying  which,cases  Hs,Cause Possible
5926,then  it,,asystolic
5927,still  it,patient,time
5928,minutes  brain,hypoxic brain damage,case
5929,resting heart rate,Athletic heart syndrome,See
5930,heart,,associated
5931,endurance athletes endurance it,,common
5932,condition,medical  condition,considered benign
5933,physical  indicator,physical  symptoms,have
5934,medical  heart,medical  tests,realize
5935,three  that,usually heart condition,diagnosed
5936,Bradycardia,,slower
5937,left  which,oxygenated  blood,state
5938,more  blood,,required
5939,more  blood,,results
5940,heart syndrome S3 which,,gallop
5941,sound,disordered blood flow,heard
5942,patient,immediate  attention,given immediate
5943,S4 gallop,,sound
5944,Cause  heart,,result
5945,endurance strength body,body oxygen deficit building,signals
5946,blood  that,heart,adaptation
5947,time  body,ventricle muscle thickness,increase
5948,i.e. time liters,heart,proportional
5949,ventricle heart rate,still  level,decrease
5950,Therefore  athletes,resting heart rates,have lower
5951,heart,workouts  increase,becomes
5952,wall,,increases
5953,decrease,,occurs
5954,physiological  heart,irregular  heartbeat,experience
5955,two  types,,static
5956,mostly weight body,,consists
5957,It,moderately heart volume,increases
5958,which,running,include
5959,type,also heart volume,increases
5960,output  which,thickening,involve
5961,athletes,heart returns,stop
5962,Diagnosis heart,,finding
5963,enlarged  heart,,seen
5964,Similarities,cardiac stress tests,prompt
5965,ECG,sinus bradycardia,detect
5966,This,,accompanied
5967,pulse,,irregular while
5968,diagnosis  left,ventricular  hypertrophy,indistinguishable
5969,walls  which,similar ECG pattern,important
5970,8  %,,found
5971,following  table,distinguishing  characteristics,shows
5972,sport Anorexia which,slowing,confused
5973,medical  history,important heart hints,give important
5974,right branch block findings,,–
5975,Echocardiography – differentiation,especially  mass,possible
5976,X-ray examination,possible heart causes,show
5977,Cardiac  MRI,,is balanced
5978,growing Reggie movement,professional  athletes,Screening related
5979,tests  it,,reveal
5980,routine insurance use,,covered
5981,routine  ECGs,,expensive
5982,,administer ECG them,exist
5983,heart  that,,is
5984,arrhythmias  which,,episodes
5985,symptoms,carditis,include
5986,initial sinus defibrillation,normal sinus rhythm,mainstays
5987,goal,normal sinus rhythm,avoidance
5988,cardiac  illness,symptoms,dangerous
5989,workout  which,,cause
5990,arrhythmias  evidence,physical  threats,required
5991,symptoms,clearance,see
5992,months  heart,heart,allows
5993,athletes  dilation,,found
5994,deconditioning,,met
5995,instead  they,life-threatening heart illness,is
5996,heart syndrome,,described
5997,those heart who,sedentary  lives,compared
5998,who,sports  symptoms,noticed
5999,normal  concern,,believed
6000,left  side,,believed
6001,those  who,syndrome,believed
6002,it,appropriate  hearts,limited
6003,sports  theory,larger  hearts,supported
6004,left  atrium,Manual Professional Version,refers
6005,It,also  atria,affect
6006,=  References,,include
6007,material,cells  lipids,consists
6008,artery wall artery which,artery blood flow,forms
6009,Atheroma,,basis
6010,first  symptoms,,result
6011,chest  they,,difficult
6012,clinical  strategies,,focus
6013,diagnostic  strategies,response,limited
6014,very  arteries,cardiac stress symptoms,relied upon
6015,angiograms blood which,blood flow,ruptures
6016,events,,occur
6017,coronary  artery,,consists
6018,Atheroma,,result
6019,plaque  stenosis,,develops
6020,,,enlarges
6021,three  results,,observed
6022,such  calibre,central  region,progress
6023,then clot lumen,tissues  atheroma,becomes
6024,more  people,,becomes
6025,,vessel cell tissue,endothelium
6026,plaque  debris,vulnerable  plaque,large
6027,downstream tissue damage,,occurs due
6028,This,,mechanism
6029,artery lumen artery narrowings,,become
6030,commonly  what,200  micrometres,reveal
6031,gross  enlargement,,enlargement
6032,This,,outcome
6033,Atheroma,also vessel debris,rupture
6034,pulse  loss,rapid wall death,become weak
6035,main  stimulus,,atrophy
6036,structural  proteins,,collagen
6037,This,gross wall enlargement,causes
6038,Histology accumulation,,always
6039,high cholesterol they,large  amounts,composed
6040,which,extracellular lipid core,released
6041,outer  portions,,become
6042,pressure  that,atheromata,develop
6043,artery walls,atheroma  atheroma,problematic
6044,highly  they,totally  atheroma,focused
6045,arterial wall fixation,,standard
6046,micro  calcifications,,detected
6047,Interventional  methods,atherosclerosis,used
6048,B-mode ultrasonography B-mode measurement,method American Heart atherosclerosis,measured
6049,decades  atheroma,advanced  atheroma,detecting
6050,higher speed machines,effective  calcification,method
6051,CT software,enough  regions,have
6052,decades heart atheroma,,start
6053,presence,,dangerous
6054,Arterial  ultrasound,partially disease progression,offers
6055,researchers  mid-1990s,changes,measured
6056,clinical carotid ultrasounds,only  degree,estimated
6057,National Institute,intravascular ultrasound techniques,did
6058,progressive  clinicians,IMT measurement,begun
6059,Angiography,,way
6060,lumen  wall,lumen  atheroma,motion
6061,arterial  lumens,,is
6062,calcification shadows calcification they,contrast agent,look
6063,health atheroma processes,health life spans,promoted
6064,Atheromata,,continue
6065,increasing  efforts,understanding  problem,continuing
6066,first United States symptom,,occur
6067,nuclear stress that,sudden  nature,detects
